Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Response,TotalSpend,TotalPurchases,TotalCampaignsAccepted,EducationLevel,CustomerTenure,Age
Single,58138.0,0,0,58,3,7,0,1,1617,22,0,3,4983,69
Single,46344.0,1,1,38,2,5,0,0,27,4,0,3,4433,72
Together,71613.0,0,0,26,1,4,0,0,776,20,0,3,4632,61
Together,26646.0,1,0,26,2,6,0,0,53,6,0,3,4459,42
Married,58293.0,1,0,94,5,5,0,0,422,14,0,4,4481,45
Together,62513.0,0,1,16,2,6,0,0,716,20,0,4,4613,59
Divorced,55635.0,0,1,34,4,6,0,0,590,17,0,3,4913,55
Married,33454.0,1,0,32,2,8,0,0,169,8,0,4,4737,41
Together,30351.0,1,0,19,1,9,0,1,46,5,0,4,4708,52
Together,5648.0,1,1,68,1,20,0,0,49,1,1,4,4428,76
Married,51381.5,1,0,11,1,7,0,0,19,3,0,3,4546,43
Married,7500.0,0,0,59,1,8,0,0,61,5,0,1,4913,50
Divorced,63033.0,0,0,82,1,2,0,0,1102,15,0,3,4546,67
Divorced,59354.0,1,1,53,3,6,0,0,310,12,0,4,4546,74
Married,17323.0,0,0,38,1,8,0,0,46,4,0,3,4947,39
Single,82800.0,0,0,23,1,3,0,1,1315,25,2,4,4902,80
Married,41850.0,1,1,51,3,8,0,0,96,6,0,3,4872,46
Together,37760.0,0,0,20,2,7,0,0,317,11,0,3,4987,80
Married,76995.0,0,1,91,2,5,0,0,1782,24,1,4,4778,77
Single,33812.0,1,0,86,2,6,0,0,133,6,0,2,4923,41
Married,37040.0,0,0,41,1,8,0,0,316,11,0,3,5010,44
Married,2447.0,1,0,42,15,1,0,0,1730,28,0,3,4859,47
Married,58607.0,0,1,63,3,8,0,0,972,14,1,4,4873,77
Married,65324.0,0,1,0,3,4,0,0,544,17,0,4,4489,72
Together,40689.0,0,1,69,7,8,0,0,444,13,0,3,4788,75
Single,18589.0,0,0,89,2,7,0,0,75,6,0,3,4863,57
Married,53359.0,1,1,4,4,7,0,0,257,10,0,3,4718,50
Single,51381.5,1,0,19,0,1,0,0,637,27,0,3,4814,40
Married,38360.0,1,0,26,2,3,0,0,131,7,0,3,4714,37
Married,84618.0,0,0,96,1,2,0,0,1672,25,1,4,4539,61
Divorced,10979.0,0,0,34,2,5,0,0,30,6,0,4,4358,37
Together,38620.0,0,0,56,1,3,0,0,318,10,0,4,4734,63
Together,40548.0,0,1,31,2,5,0,0,120,7,1,3,4947,56
Divorced,46610.0,0,2,8,6,6,0,1,302,11,0,4,4928,74
Married,68657.0,0,0,4,1,7,0,0,1196,17,0,4,4814,80
Single,49389.0,1,1,55,1,7,0,0,65,5,0,4,4624,75
Married,67353.0,0,1,37,5,2,0,0,913,23,0,4,4500,56
Married,23718.0,1,0,76,3,7,0,0,81,6,0,2,4620,50
Widow,42429.0,0,1,99,2,5,0,0,67,5,0,3,4458,53
Divorced,48948.0,0,0,53,2,6,0,1,902,22,1,4,4833,83
Married,80011.0,0,1,3,2,4,0,0,1395,19,0,3,4746,46
Married,20559.0,1,0,88,2,8,0,0,53,5,0,4,4794,41
Together,21994.0,0,1,4,1,5,0,0,22,3,0,3,4872,69
Single,51381.5,0,0,80,1,2,0,0,186,8,0,4,4556,67
