NumDealsPurchases,NumWebVisitsMonth,TotalPurchases,Age,Recency,CustomerTenure,TotalSpend,Income,Segment
3,7,22,69,58,4983,1617,58138.0,0
2,5,4,72,38,4433,27,46344.0,1
1,4,20,61,26,4632,776,71613.0,2
2,6,6,42,26,4459,53,26646.0,1
5,5,14,45,94,4481,422,58293.0,0
2,6,20,59,16,4613,716,62513.0,2
4,6,17,55,34,4913,590,55635.0,0
2,8,8,41,32,4737,169,33454.0,1
1,9,5,52,19,4708,46,30351.0,1
1,20,1,76,68,4428,49,5648.0,1
1,7,3,43,11,4546,19,51381.5,1
1,8,5,50,59,4913,61,7500.0,1
1,2,15,67,82,4546,1102,63033.0,2
3,6,12,74,53,4546,310,59354.0,0
1,8,4,39,38,4947,46,17323.0,1
1,3,25,80,23,4902,1315,82800.0,2
3,8,6,46,51,4872,96,41850.0,1
2,7,11,80,20,4987,317,37760.0,0
2,5,24,77,91,4778,1782,76995.0,2
2,6,6,41,86,4923,133,33812.0,1
1,8,11,44,41,5010,316,37040.0,1
15,1,28,47,42,4859,1730,2447.0,0
3,8,14,77,63,4873,972,58607.0,0
3,4,17,72,0,4489,544,65324.0,2
7,8,13,75,69,4788,444,40689.0,0
2,7,6,57,89,4863,75,18589.0,1
4,7,10,50,4,4718,257,53359.0,0
0,1,27,40,19,4814,637,51381.5,2
2,3,7,37,26,4714,131,38360.0,1
1,2,25,61,96,4539,1672,84618.0,2
2,5,6,37,34,4358,30,10979.0,1
1,3,10,63,56,4734,318,38620.0,1
2,5,7,56,31,4947,120,40548.0,1
6,6,11,74,8,4928,302,46610.0,0
1,7,17,80,4,4814,1196,68657.0,2
1,7,5,75,55,4624,65,49389.0,1
5,2,23,56,37,4500,913,67353.0,2
3,7,6,50,76,4620,81,23718.0,1
2,5,5,53,99,4458,67,42429.0,1
2,6,22,83,53,4833,902,48948.0,0
2,4,19,46,3,4746,1395,80011.0,2
2,8,5,41,88,4794,53,20559.0,1
1,5,3,69,4,4872,22,21994.0,1
1,2,8,67,80,4556,186,51381.5,1
3,5,5,51,19,4590,31,7500.0,1
1,1,15,50,72,4321,984,79941.0,2
3,9,7,30,24,4917,122,7500.0,1
1,10,4,58,92,4721,55,41728.0,1
3,6,7,75,96,4499,124,51381.5,1
9,8,19,72,39,4918,1319,72550.0,0
1,2,16,69,29,4368,507,65486.0,2
1,3,28,62,2,5007,1693,79143.0,2
2,7,5,49,54,4863,72,35790.0,1
1,1,20,49,54,4342,1617,82582.0,2
7,3,16,48,57,4702,606,66373.0,0
1,1,26,71,55,4907,1957,82384.0,2
1,3,20,60,30,4773,1093,70287.0,2
1,3,5,38,31,4382,29,27938.0,1
2,6,5,44,57,4697,46,51381.5,1
3,7,16,58,63,4438,518,55954.0,0
1,1,20,44,12,4680,1438,75777.0,2
4,3,18,51,18,4980,612,66653.0,0
4,7,20,74,26,4816,884,61823.0,0
1,5,18,75,8,4703,606,67680.0,2
1,4,15,78,29,4525,1076,70666.0,2
1,7,4,55,75,4724,34,25721.0,1
1,7,3,59,0,4369,11,32474.0,1
1,5,31,47,19,4422,1274,88194.0,2
1,4,17,68,4,4595,653,69096.0,2
7,5,12,56,90,4767,1562,74854.0,0
3,3,18,72,1,4976,1253,66991.0,2
3,8,6,53,25,4973,109,51381.5,1
4,7,26,67,29,4789,863,65031.0,0
5,7,19,51,88,4770,661,60631.0,0
1,2,7,74,58,4380,65,28332.0,1
1,6,3,49,68,4877,13,40246.0,1
1,5,18,54,34,4991,1890,75251.0,2
0,4,22,50,40,4945,2209,75825.0,2
1,3,3,50,12,4618,18,26326.0,1
2,8,19,61,9,4863,692,56046.0,0
4,8,8,41,87,4989,165,29760.0,1
1,7,3,57,5,4691,16,26304.0,1
3,7,6,53,87,4681,79,23559.0,1
1,3,10,63,56,4734,318,38620.0,1
1,1,26,39,18,4444,778,81361.0,2
2,7,5,66,95,4642,56,29440.0,1
5,7,8,56,48,4668,151,36138.0,1
4,7,13,69,3,4352,372,50388.0,0
1,2,18,53,70,4368,1366,79593.0,2
1,2,9,59,79,4479,194,54178.0,1
12,9,17,69,4,4907,603,51381.5,0
1,7,3,69,45,4353,18,51381.5,1
1,1,14,53,87,4538,985,51381.5,2
1,7,4,54,69,4418,32,42394.0,1
3,5,7,56,84,4356,43,23626.0,1
1,6,5,43,30,4358,45,30096.0,1
5,6,17,66,72,4904,606,47916.0,0
2,7,5,54,37,4764,63,51813.0,1
1,2,24,75,44,4530,978,78497.0,2
2,5,14,43,32,4694,410,50150.0,1
2,8,5,66,0,4661,72,47823.0,1
2,6,5,67,43,4411,55,34554.0,1
2,5,25,47,59,4755,1169,85693.0,2
1,4,15,81,68,4728,1120,65846.0,2
